Time_s,Temperature1_C,Temperature2_C
499.8290455,188.1,95.9
500.4245343,187.7,95.7
501.0233428,187.7,95.7
501.6199103,187,95.7
502.2327198,186.6,95.6
502.8599666,186.2,95.6
503.4597157,186.2,95.6
504.0574318,185.5,95.6
504.6543837,185.5,95.6
505.2380491,184.7,95.6
505.856924,184.7,95.6
506.4631456,184.4,95.6
507.0367196,184,95.6
507.6233648,184,95.6
508.179404,183.7,95.6
508.7597471,183.3,95.6
509.3464985,183,95.6
509.9199133,182.6,95.6
510.505143,182.3,95.6
511.1019926,182.3,95.6
511.7179837,181.6,95.6
512.2998089,181.2,95.6
512.8726077,181.2,95.6
513.4516955,180.9,95.6
514.065034,180.5,95.6
514.6679721,180.2,95.6
515.258606,179.9,95.7
515.8786345,179.5,95.7
516.5038831,179.5,95.7
517.1115472,179.2,95.9
517.6996987,178.9,95.9
518.3093485,178.5,95.9
518.884983,178.2,96
519.4527434,178.2,96
520.0148438,177.9,96
520.6256541,177.6,96.2
521.2064291,177.6,96.2
521.7690157,177.3,96.2
522.3368759,176.9,96.2
522.9361584,176.9,96.4
523.527526,176.6,96.4
524.1042955,176.3,96.4
524.7238421,176,96.6
525.3062118,175.7,96.6
525.9067589,175.4,96.7
526.5104987,175.4,96.7
527.095207,175.1,96.9
527.6863019,174.7,97
528.2564086,174.7,97
528.8671952,174.4,97.2
529.4347044,174.1,97.3
530.0184181,174.1,97.3
530.6215839,173.8,97.4
531.1963526,173.8,97.4
531.7576285,173.5,97.6
532.3458618,173.5,97.7
532.9318686,173.5,97.7
533.4934339,173.5,97.9
534.0913921,173.5,98
534.6881508,173.2,98.2
535.2792105,173.2,98.2
535.8891976,173.2,98.3
536.4891636,173.2,98.4
537.1133276,172.9,98.4
537.7165821,172.9,98.6
538.2789808,172.9,98.7
538.9029794,172.9,98.9
539.5157007,172.6,99
540.1111748,172.9,99.2
540.7253775,172.6,99.3
541.3509361,172.6,99.6
541.9437372,172.6,99.7
542.5574877,172.6,99.9
543.1541843,172.6,100
543.7830312,172.9,100.2
544.3948488,172.9,100.2
545.0231005,172.9,100.3
545.6205834,172.9,100.5
546.2469826,173.2,100.6
546.875488,173.2,100.7
547.4866196,173.2,100.9
548.052865,173.2,101
548.6650228,173.5,101.2
549.242486,173.5,101.3
549.8253915,173.5,101.5
550.4128414,173.8,101.6
551.0265206,173.8,101.7
551.6216065,174.1,101.9
552.2118171,174.4,102
552.8073312,174.4,102.2
553.3999112,174.4,102.3
553.9990798,175.1,102.5
554.597663,175.4,102.6
555.1946835,175.7,102.7
555.7934829,176,102.9
556.3924719,176.3,103
557.0203935,176.6,103.2
557.6190747,177.3,103.2
558.2300291,177.6,103.3
558.8266914,177.9,103.3
559.4221531,178.2,103.5
560.0188037,178.5,103.5
560.6155914,178.9,103.5
561.2292761,179.5,103.3
561.8269463,179.5,103.3
562.4243447,179.9,103.2
563.021773,180.5,103.2
563.619777,180.5,103
564.2182393,180.9,102.9
564.8160367,181.2,102.6
565.4137352,181.6,102.5
566.0404603,182.3,102.3
566.6373115,182.3,102
567.231477,182.6,102
567.8293662,183.3,101.9
568.4260827,183.7,101.7
569.0220213,184,101.6
569.6194977,184.4,101.5
570.1996447,185.1,101.5
570.7948762,185.1,101.2
571.3912849,185.8,101
572.0043995,186.2,100.9
572.6026467,186.6,100.7
573.2002873,187,100.6
573.7977844,187.7,100.5
574.3935081,188.1,100.5
575.0067956,188.5,100.3
575.6018356,188.9,100.2
576.1994501,189.3,100.2
576.7960617,189.7,100.2
577.3920508,190.1,100
577.9913215,190.1,100
578.5892131,190.5,100
579.1995828,190.9,100
579.7972119,190.9,99.9
580.3918111,190.9,99.9
580.9892295,190.9,99.7
581.5888063,191.3,99.7
582.1858841,191.3,99.7
582.8116009,191.3,99.6
583.4107997,191.3,99.6
583.9955381,191.3,99.5
584.6096819,190.9,99.5
585.2037489,190.9,99.3
585.7984923,191.3,99
586.3952346,190.9,99.2
586.9938169,190.9,98.9
587.5900245,190.9,98.9
588.188822,190.9,98.7
588.7648082,190.9,98.6
589.377868,190.9,98.4
589.9756444,190.5,98.3
590.5670642,190.1,98.2
591.1781253,190.1,98
591.7898427,190.1,97.9
592.4161838,189.7,97.9
593.0290382,189.3,97.6
593.6089333,188.9,97.4
594.2378965,188.5,97.3
594.8339698,188.1,97.2
595.4013003,187.7,97
596.0149696,187.3,96.9
596.6249262,187,96.7
597.222467,186.2,96.6
597.8185011,185.8,96.6
598.4150766,185.5,96.6
598.9966591,185.1,96.4
599.5971735,185.1,96.4
600.1668266,184.4,96.4
600.7325549,184,96.3
601.3521601,184,96.3
601.9442554,183.7,96.3
602.5383391,183.3,96.3
603.1480094,183,96.3
603.7656026,182.3,96.3
604.4076661,182.3,96.4
605.0121339,181.9,96.4
605.5921139,181.6,96.4
606.2016513,181.2,96.4
606.8186098,180.9,96.6
607.4163317,180.5,96.6
608.0119275,180.2,96.6
608.6248961,180.2,96.7
609.2202572,179.9,96.9
609.8175967,179.5,96.9
